chatId,authorName,avatar,content,attachments,embeds,date,referenceMessage,referenceMessageDate,referenceMessageAuthor
1484806669799129189,jdbartlett96,https://cdn.discordapp.com/avatars/496142230197895178/null.png,I'll take it to DM with you; running a quick test on example to make sure it shows what I'm talking about,,,2026/03/20 23:51,,,
1484827061179650239,divc13,https://cdn.discordapp.com/avatars/1479806814731239445/null.png,"Just asking, are the ~4us submissions legal?",,,2026/03/21 01:12,I mean it’s against the spirit of the competition. We would obviously disqualify those submissions.,2026-03-21T06:50:52.112000+00:00,marksaroufim
1484828552364032080,phibi2662,https://cdn.discordapp.com/avatars/984727842833174579/b7305b4c8f24d8f310fd2c1483df9793.png,"Hey, does anyone know if AMD is providing MI355X access for hackathon participants? I don't have access to gfx950 hardware to test my kernels. Also, has anyone gotten tl.dot_scaled working with the correct scale layout for the mxfp4-mm challenge?",,,2026/03/21 01:18,,,
1484842580368953344,luyuzhang_38202,https://cdn.discordapp.com/avatars/1389194639369699401/null.png,"Recently, I've been running in --mode profile. Why can't I view the zipped files anymore? Previously, I could view the zipped summary files, but now they're gone. Also, in profile mode, the command line won't exit; it keeps getting stuck",https://cdn.discordapp.com/attachments/1359640791525490768/1484842579911512155/image.png?ex=69c4502a&is=69c2feaa&hm=bd55d3ef019df67670dbb26d76f4a428d6a48519dfcbad22eab2ac73d38ed04d&,,2026/03/21 02:14,,,
1484843648196673566,phibi2662,https://cdn.discordapp.com/avatars/984727842833174579/b7305b4c8f24d8f310fd2c1483df9793.png,bro you using a mi355x server ?,,,2026/03/21 02:18,"Recently, I've been running in --mode profile. Why can't I view the zipped files anymore? Previously, I could view the zipped summary files, but now they're gone. Also, in profile mode, the command line won't exit; it keeps getting stuck",2026-03-21T09:14:18.201000+00:00,luyuzhang_38202
1484845058950823997,phibi2662,https://cdn.discordapp.com/avatars/984727842833174579/b7305b4c8f24d8f310fd2c1483df9793.png,i mean  that seems to be your 200th submission so you tested kernel on a server and then uploading the final just askin😉,,,2026/03/21 02:24,,,
1484845713127899146,luyuzhang_38202,https://cdn.discordapp.com/avatars/1389194639369699401/null.png,200 is just a name. I just want to run on prfile mode,,,2026/03/21 02:26,bro you using a mi355x server ?,2026-03-21T09:18:32.791000+00:00,phibi2662
1484846698890006668,phibi2662,https://cdn.discordapp.com/avatars/984727842833174579/b7305b4c8f24d8f310fd2c1483df9793.png,oh i see👍👍,,,2026/03/21 02:30,,,
1484858904499458119,tomasruiz2301,https://cdn.discordapp.com/avatars/603953176936316958/836887b94e35a8c0a09cd4fe5ffe87e7.png,Does modal have AMD support on the roadmap?,,,2026/03/21 03:19,,,
1484862013837414530,phibi2662,https://cdn.discordapp.com/avatars/984727842833174579/b7305b4c8f24d8f310fd2c1483df9793.png,??,,,2026/03/21 03:31,Does modal have AMD support on the roadmap?,2026-03-21T10:19:10.177000+00:00,tomasruiz2301
